Spectral Type,Temperature (K),Absolute Magnitude,Luminosity (in solar luminosities)
B0,21000,-6.4,320000
B1,16000,-6.4,280000
B2,14000,-6.4,220000
B3,12800,-6.3,180000
B5,11500,-6.3,140000
B6,11000,-6.3,98000
B7,10500,-6.3,82000
B8,10000,-6.2,73000
B9,9700,-6.2,61000
A0,9400,-6.2,50600
A1,9100,-6.2,44000
A2,8900,-6.2,40000
A5,8300,-6.1,36000
F0,7500,-6,20000
F2,7200,-6,18000
F5,6800,-5.9,16000
F8,6150,-5.9,12000
G0,5800,-5.9,9600
G2,5500,-5.8,9500
G5,5100,-5.8,9800
G8,5050,-5.7,11000
K0,4900,-5.7,12000
K1,4700,-5.6,13500
K2,4500,-5.6,15200
K3,4300,-5.6,17000
K4,4100,-5.5,18300
K5,3750,-5.5,20000
M0,3660,-5.3,50600
M1,3600,-5.3,52000
M2,3500,-5.3,53000
M3,3300,-5.3,54000
M4,3100,-5.2,56000
M5,2950,-5.2,58000